# gunzip -c data/dec_gop_572/alignments/phone_stats.*.gz | steps/diagnostic/analyze_phone_length_stats.py data/lang_gop_400_ex_one_sil 
# Started at Sun Jun 25 17:35:09 IST 2023
#
At utterance begin, SIL accounts for 100.0% of phone occurrences, with duration (median, mean, 95-percentile) is (26,30.1,52) frames.
At utterance end, SIL accounts for 98.3% of phone occurrences, with duration (median, mean, 95-percentile) is (24,27.9,64) frames.
At utterance end, nonsilence accounts for 1.7% of phone occurrences, with duration (median, mean, 95-percentile) is (1,1.8,4) frames.
At utterance end, S_E accounts for 0.9% of phone occurrences, with duration (median, mean, 95-percentile) is (1,1.0,1) frames.
At utterance end, UW_E accounts for 0.5% of phone occurrences, with duration (median, mean, 95-percentile) is (1,3.0,4) frames.
Overall, nonsilence accounts for 86.5% of phone occurrences, with duration (median, mean, 95-percentile) is (4,4.0,8) frames.
Overall, SIL accounts for 13.5% of phone occurrences, with duration (median, mean, 95-percentile) is (4,9.9,35) frames.
Overall, AH_I accounts for 4.5% of phone occurrences, with duration (median, mean, 95-percentile) is (3,3.0,6) frames.
Overall, R_I accounts for 4.3% of phone occurrences, with duration (median, mean, 95-percentile) is (2,1.7,3) frames.
Overall, IH_I accounts for 3.8% of phone occurrences, with duration (median, mean, 95-percentile) is (3,3.0,6) frames.
Overall, DH_B accounts for 3.7% of phone occurrences, with duration (median, mean, 95-percentile) is (3,3.2,6) frames.
Overall, W_B accounts for 2.9% of phone occurrences, with duration (median, mean, 95-percentile) is (3,3.4,6) frames.
Overall, T_E accounts for 2.9% of phone occurrences, with duration (median, mean, 95-percentile) is (4,3.7,7) frames.
Overall, L_I accounts for 2.7% of phone occurrences, with duration (median, mean, 95-percentile) is (2,2.4,4) frames.
Overall, Z_E accounts for 2.7% of phone occurrences, with duration (median, mean, 95-percentile) is (5,5.0,9) frames.
Overall, S_E accounts for 2.4% of phone occurrences, with duration (median, mean, 95-percentile) is (5,5.0,10) frames.
Overall, B_B accounts for 2.2% of phone occurrences, with duration (median, mean, 95-percentile) is (3,3.6,6) frames.
Overall, N_I accounts for 1.9% of phone occurrences, with duration (median, mean, 95-percentile) is (3,3.1,5) frames.
Overall, D_E accounts for 1.8% of phone occurrences, with duration (median, mean, 95-percentile) is (3,2.8,6) frames.
Overall, R_E accounts for 1.8% of phone occurrences, with duration (median, mean, 95-percentile) is (3,3.1,5) frames.
Overall, AH_E accounts for 1.8% of phone occurrences, with duration (median, mean, 95-percentile) is (4,4.6,10) frames.
Overall, EH_I accounts for 1.7% of phone occurrences, with duration (median, mean, 95-percentile) is (4,4.0,7) frames.
Overall, IY_I accounts for 1.6% of phone occurrences, with duration (median, mean, 95-percentile) is (5,4.9,8) frames.
Overall, EY_I accounts for 1.6% of phone occurrences, with duration (median, mean, 95-percentile) is (4,4.5,8) frames.
Overall, IY_E accounts for 1.5% of phone occurrences, with duration (median, mean, 95-percentile) is (5,6.1,12) frames.
Overall, IH_B accounts for 1.4% of phone occurrences, with duration (median, mean, 95-percentile) is (5,5.2,9) frames.
Overall, AO_B accounts for 1.4% of phone occurrences, with duration (median, mean, 95-percentile) is (5,5.9,11) frames.
Overall, AE_I accounts for 1.4% of phone occurrences, with duration (median, mean, 95-percentile) is (5,4.9,8) frames.
Overall, AY_I accounts for 1.3% of phone occurrences, with duration (median, mean, 95-percentile) is (6,5.9,10) frames.
Overall, HH_B accounts for 1.3% of phone occurrences, with duration (median, mean, 95-percentile) is (3,3.4,6) frames.
Overall, AO_I accounts for 1.3% of phone occurrences, with duration (median, mean, 95-percentile) is (5,5.3,9) frames.
Overall, T_I accounts for 1.3% of phone occurrences, with duration (median, mean, 95-percentile) is (3,2.8,4) frames.
Overall, UW_E accounts for 1.2% of phone occurrences, with duration (median, mean, 95-percentile) is (4,4.8,11) frames.
