# gunzip -c data/dec_gop_572_gm/alignments/phone_stats.*.gz | steps/diagnostic/analyze_phone_length_stats.py /media/run/kaldi/egs/iitm_baseline/English_ASR_Challenge/asr/data/lang_gop_ph/ 
# Started at Sat Jun 24 18:22:35 IST 2023
#
At utterance begin, SIL accounts for 100.0% of phone occurrences, with duration (median, mean, 95-percentile) is (73,77.0,122) frames.
At utterance end, SIL accounts for 90.3% of phone occurrences, with duration (median, mean, 95-percentile) is (78,86.6,187) frames.
At utterance end, nonsilence accounts for 9.7% of phone occurrences, with duration (median, mean, 95-percentile) is (5,7.7,19) frames.
At utterance end, S_E accounts for 6.6% of phone occurrences, with duration (median, mean, 95-percentile) is (5,7.5,19) frames.
At utterance end, NG_E accounts for 1.1% of phone occurrences, with duration (median, mean, 95-percentile) is (5,6.7,11) frames.
At utterance end, UW_E accounts for 0.7% of phone occurrences, with duration (median, mean, 95-percentile) is (6,8.0,11) frames.
At utterance end, Z_E accounts for 0.7% of phone occurrences, with duration (median, mean, 95-percentile) is (7,10.0,8) frames.
Overall, nonsilence accounts for 89.2% of phone occurrences, with duration (median, mean, 95-percentile) is (10,11.7,25) frames.
Overall, SIL accounts for 10.8% of phone occurrences, with duration (median, mean, 95-percentile) is (24,34.7,106) frames.
Overall, R_I accounts for 4.4% of phone occurrences, with duration (median, mean, 95-percentile) is (6,7.1,16) frames.
Overall, AH_I accounts for 4.2% of phone occurrences, with duration (median, mean, 95-percentile) is (8,8.3,17) frames.
Overall, IH_I accounts for 4.0% of phone occurrences, with duration (median, mean, 95-percentile) is (7,8.3,16) frames.
Overall, DH_B accounts for 3.8% of phone occurrences, with duration (median, mean, 95-percentile) is (9,9.1,17) frames.
Overall, Z_E accounts for 3.3% of phone occurrences, with duration (median, mean, 95-percentile) is (15,16.6,31) frames.
Overall, T_E accounts for 3.0% of phone occurrences, with duration (median, mean, 95-percentile) is (11,11.2,22) frames.
Overall, L_I accounts for 2.8% of phone occurrences, with duration (median, mean, 95-percentile) is (7,8.5,17) frames.
Overall, W_B accounts for 2.7% of phone occurrences, with duration (median, mean, 95-percentile) is (12,12.9,23) frames.
Overall, B_B accounts for 2.2% of phone occurrences, with duration (median, mean, 95-percentile) is (10,10.8,19) frames.
Overall, S_E accounts for 2.1% of phone occurrences, with duration (median, mean, 95-percentile) is (14,15.0,31) frames.
Overall, N_I accounts for 2.0% of phone occurrences, with duration (median, mean, 95-percentile) is (8,8.6,16) frames.
Overall, AH_E accounts for 1.9% of phone occurrences, with duration (median, mean, 95-percentile) is (8,11.5,30) frames.
Overall, R_E accounts for 1.9% of phone occurrences, with duration (median, mean, 95-percentile) is (9,10.6,22) frames.
Overall, D_E accounts for 1.9% of phone occurrences, with duration (median, mean, 95-percentile) is (8,9.4,19) frames.
Overall, EY_I accounts for 1.8% of phone occurrences, with duration (median, mean, 95-percentile) is (11,11.5,22) frames.
Overall, EH_I accounts for 1.7% of phone occurrences, with duration (median, mean, 95-percentile) is (10,10.6,19) frames.
Overall, IY_E accounts for 1.6% of phone occurrences, with duration (median, mean, 95-percentile) is (13,15.3,32) frames.
Overall, IY_I accounts for 1.5% of phone occurrences, with duration (median, mean, 95-percentile) is (13,14.1,26) frames.
Overall, IH_B accounts for 1.5% of phone occurrences, with duration (median, mean, 95-percentile) is (12,12.7,23) frames.
Overall, AE_I accounts for 1.5% of phone occurrences, with duration (median, mean, 95-percentile) is (13,14.2,25) frames.
Overall, AO_B accounts for 1.5% of phone occurrences, with duration (median, mean, 95-percentile) is (16,17.5,33) frames.
Overall, AO_I accounts for 1.4% of phone occurrences, with duration (median, mean, 95-percentile) is (15,15.0,27) frames.
Overall, AY_I accounts for 1.4% of phone occurrences, with duration (median, mean, 95-percentile) is (16,16.8,28) frames.
