# gunzip -c data/gop_examples_canonical/alignments/phone_stats.*.gz | steps/diagnostic/analyze_phone_length_stats.py data/lang_no_gm/ 
# Started at Wed Feb  1 13:41:33 IST 2023
#
At utterance begin, SIL accounts for 100.0% of phone occurrences, with duration (median, mean, 95-percentile) is (19,30.9,49) frames.
At utterance end, SIL accounts for 100.0% of phone occurrences, with duration (median, mean, 95-percentile) is (2,11.2,35) frames.
Overall, nonsilence accounts for 86.1% of phone occurrences, with duration (median, mean, 95-percentile) is (3,3.8,8) frames.
Overall, SIL accounts for 13.9% of phone occurrences, with duration (median, mean, 95-percentile) is (1,7.0,24) frames.
Overall, IH_I accounts for 4.9% of phone occurrences, with duration (median, mean, 95-percentile) is (3,3.1,6) frames.
Overall, R_I accounts for 3.9% of phone occurrences, with duration (median, mean, 95-percentile) is (2,2.4,6) frames.
Overall, T_E accounts for 3.6% of phone occurrences, with duration (median, mean, 95-percentile) is (3,3.1,6) frames.
Overall, EY_I accounts for 3.0% of phone occurrences, with duration (median, mean, 95-percentile) is (4,4.6,7) frames.
Overall, L_I accounts for 3.0% of phone occurrences, with duration (median, mean, 95-percentile) is (3,2.5,4) frames.
Overall, S_E accounts for 2.8% of phone occurrences, with duration (median, mean, 95-percentile) is (5,5.4,11) frames.
Overall, Z_E accounts for 2.8% of phone occurrences, with duration (median, mean, 95-percentile) is (5,4.7,7) frames.
Overall, AE_B accounts for 2.6% of phone occurrences, with duration (median, mean, 95-percentile) is (5,4.8,9) frames.
Overall, AH_I accounts for 2.3% of phone occurrences, with duration (median, mean, 95-percentile) is (3,3.1,6) frames.
Overall, B_B accounts for 2.3% of phone occurrences, with duration (median, mean, 95-percentile) is (3,3.8,6) frames.
Overall, EH_I accounts for 2.3% of phone occurrences, with duration (median, mean, 95-percentile) is (3,3.7,6) frames.
Overall, N_I accounts for 2.3% of phone occurrences, with duration (median, mean, 95-percentile) is (3,3.3,5) frames.
Overall, W_B accounts for 2.3% of phone occurrences, with duration (median, mean, 95-percentile) is (3,3.5,7) frames.
Overall, D_E accounts for 2.0% of phone occurrences, with duration (median, mean, 95-percentile) is (2,1.9,4) frames.
Overall, DH_B accounts for 2.0% of phone occurrences, with duration (median, mean, 95-percentile) is (3,2.9,5) frames.
Overall, R_E accounts for 2.0% of phone occurrences, with duration (median, mean, 95-percentile) is (3,3.3,5) frames.
Overall, K_B accounts for 1.6% of phone occurrences, with duration (median, mean, 95-percentile) is (3,3.4,5) frames.
Overall, K_E accounts for 1.6% of phone occurrences, with duration (median, mean, 95-percentile) is (3,3.4,6) frames.
Overall, N_E accounts for 1.6% of phone occurrences, with duration (median, mean, 95-percentile) is (5,5.5,11) frames.
Overall, AO_I accounts for 1.3% of phone occurrences, with duration (median, mean, 95-percentile) is (4,4.6,8) frames.
Overall, AY_I accounts for 1.3% of phone occurrences, with duration (median, mean, 95-percentile) is (6,6.4,9) frames.
Overall, EY_E accounts for 1.3% of phone occurrences, with duration (median, mean, 95-percentile) is (5,6.1,11) frames.
Overall, IH_B accounts for 1.3% of phone occurrences, with duration (median, mean, 95-percentile) is (4,3.8,6) frames.
Overall, IY_I accounts for 1.3% of phone occurrences, with duration (median, mean, 95-percentile) is (5,4.9,9) frames.
Overall, JH_I accounts for 1.3% of phone occurrences, with duration (median, mean, 95-percentile) is (3,3.1,5) frames.
Overall, L_B accounts for 1.3% of phone occurrences, with duration (median, mean, 95-percentile) is (3,3.6,6) frames.
Overall, OW_I accounts for 1.3% of phone occurrences, with duration (median, mean, 95-percentile) is (4,4.5,7) frames.
Overall, AA_B accounts for 1.0% of phone occurrences, with duration (median, mean, 95-percentile) is (5,5.9,11) frames.
Overall, AA_E accounts for 1.0% of phone occurrences, with duration (median, mean, 95-percentile) is (6,5.4,9) frames.
