!SIL    SIL
AA_R	AA R
AE_F_R_IH_K	AE F R IH K
AE_F_R_IH_K_AA	AE F R IH K AA
AE_N_D	AE N D
AE_N_IH_L	AE N IH L
AE_N_IH_M_AH_L	AE N IH M AH L
AE_N_IH_M_AH_L_S	AE N IH M AH L S
AE_N_IH_M_AH_R_S	AE N IH M AH R S
AE_N_IH_M_AH_R_Z	AE N IH M AH R Z
AE_Z	AE Z
AH_M_AH_R_IH_K_AA	AH M AH R IH K AA
AH_M_EH_R_IH_K_AA	AH M EH R IH K AA
AH_S	AH S
AH_W_AY_K	AH W AY K
AH_W_EY	AH W EY
AO_F	AO F
AO_R	AO R
B_AO_D_EH_S_T	B AO D EH S T
B_AO_D_IY_Z	B AO D IY Z
B_AO_R_S	B AO R S
B_EH_S_T	B EH S T
B_EY_AH_R_Z	B EY AH R Z
B_EY_R_Z	B EY R Z
B_IH_G	B IH G
B_IY_AH_R	B IY AH R
B_IY_AH_R_S	B IY AH R S
B_IY_AH_R_Z	B IY AH R Z
B_IY_T	B IY T
DH_AH	DH AH
DH_EY	DH EY
DH_EY_AH_R	DH EY AH R
D_EY_N_JH_AH_R_AH_R_S	D EY N JH AH R AH R S
D_EY_N_JH_AH_R_S	D EY N JH AH R S
D_EY_N_JH_AH_R_Z	D EY N JH AH R Z
D_UW	D UW
EY_SH_IH_AA	EY SH IH AA
EY_SH_IH_K_AA	EY SH IH K AA
F_AW_N_D	F AW N D
F_IH_K_AA	F IH K AA
F_IH_SH	F IH SH
F_R_AO_M	F R AO M
F_R_IH_M_AH_L_S	F R IH M AH L S
F_R_OW_P	F R OW P
HH_AE_V	HH AE V
HH_AE_Z	HH AE Z
IH_N	IH N
IY_T	IY T
K_EH_P_T	K EH P T
K_EY_JH_AH_R_Z	K EY JH AH R Z
K_EY_JH_AH_S	K EY JH AH S
K_EY_JH_IH_SH	K EY JH IH SH
K_IH_P_T	K IH P T
K_IY_P	K IY P
K_OW_L_D	K OW L D
K_OW_L_D_EH_S_T	K OW L D EH S T
K_W_AY_T	K W AY T
L_AY_K	L AY K
L_AY_T	L AY T
L_EH_G_Z	L EH G Z
L_IH_S	L IH S
L_IH_V	L IH V
L_IH_W	L IH W
M_IH_L	M IH L
M_IY_T	M IY T
M_IY_Z	M IY Z
M_OW_S_T	M OW S T
N_AO_T	N AO T
N_Y_UW	N Y UW
P_AA_R_T	P AA R T
P_OW_L_AA_R	P OW L AA R
P_OW_L_D_EH_S_T	P OW L D EH S T
R_AY_K	R AY K
R_AY_S	R AY S
SH_AO_T	SH AO T
SIL SIL
S_IY_L_S	S IY L S
S_IY_Z	S IY Z
TH_IH_G	TH IH G
TH_IH_K	TH IH K
TH_IH_NG_K	TH IH NG K
T_EY_B_AH_L_S	T EY B AH L S
T_EY_L	T EY L
T_EY_L_S	T EY L S
T_EY_R_S	T EY R S
T_UW	T UW
W_AH_L_D	W AH L D
W_AH_R_T	W AH R T
W_EH_JH_IH_T_EY_B_AH_L_S	W EH JH IH T EY B AH L S
W_EH_JH_IH_T_EY_B_AH_R_Z	W EH JH IH T EY B AH R Z
W_EH_N	W EH N
W_EH_R_IH_T_EY_B_AH_L_S	W EH R IH T EY B AH L S
W_EH_S_T	W EH S T
W_IH_CH	W IH CH
W_IH_DH	W IH DH
W_IH_L	W IH L
W_IY	W IY
Y_UH_JH_IH_L_IY	Y UH JH IH L IY
Y_UH_R_AO_T	Y UH R AO T
Y_UH_R_OW_P	Y UH R OW P
Y_UW_S	Y UW S
Z_UW	Z UW
Z_UW_S	Z UW S
